NR_TRABALHO;Total_Horas;vinculo_atividade_planejamento;DEPE_atividade_planejamento;descricao_atividade_planejamento;tipo_atividade_planejamento;DT_INC_atividade_planejamento;DT_FIM_atividade_planejamento;horas_destinadas_trabalho
49850;3410;49968;9920;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49861;1000;49865;9825;Pré-auditoria;Processo Corporativo;04/nov/24;29/nov/24;300
49861;1000;49866;9825;Execução;Processo Corporativo;02DEC2024;07/jan/25;400
49861;1000;49867;9825;Comunicação de Resultados;Processo Corporativo;08/jan/25;31/jan/25;200
49861;1000;49869;9825;Supervisão;Processo Corporativo;04/nov/24;31/jan/25;100
50091;1133;50105;9604;Execução;Processo Corporativo;21OCT2024;02DEC2024;600
50091;1133;50106;9604;Comunicação de Resultados;Processo Corporativo;03DEC2024;03/jan/25;180
50091;1133;50104;9604;Pré-auditoria;Processo Corporativo;30SEP2024;18OCT2024;280
50091;1133;50107;9604;Supervisão;Processo Corporativo;30SEP2024;03/jan/25;73
50178;2080;50186;8454;Pré-auditoria;Processo Corporativo;04/nov/24;29/nov/24;80
50178;2080;50191;8454;Execução;Processo Corporativo;02DEC2024;07/jan/25;120
50178;2080;50200;8454;Comunicação de Resultados;Processo Corporativo;08/jan/25;31/jan/25;80
50178;2080;50193;9608;Execução;Processo Corporativo;02DEC2024;07/jan/25;170
50178;2080;50202;9608;Comunicação de Resultados;Processo Corporativo;08/jan/25;31/jan/25;130
50178;2080;50182;9825;Pré-auditoria;Processo Corporativo;04/nov/24;29/nov/24;294
50178;2080;50183;9825;Execução;Processo Corporativo;02DEC2024;07/jan/25;392
50178;2080;50184;9825;Comunicação de Resultados;Processo Corporativo;08/jan/25;31/jan/25;196
50178;2080;50185;9825;Supervisão;Processo Corporativo;04/nov/24;31/jan/25;98
50178;2080;50188;9875;Pré-auditoria;Processo Corporativo;04/nov/24;29/nov/24;80
50178;2080;50196;9875;Execução;Processo Corporativo;02DEC2024;07/jan/25;120
50178;2080;50205;9875;Comunicação de Resultados;Processo Corporativo;08/jan/25;31/jan/25;80
50178;2080;50189;9920;Pré-auditoria;Processo Corporativo;04/nov/24;29/nov/24;120
50178;2080;50198;9920;Execução;Processo Corporativo;02DEC2024;07/jan/25;120
50395;1464;50403;9608;Execução;Processo Corporativo;05/nov/24;31DEC2024;280
50395;1464;50402;9608;Pré-auditoria;Processo Corporativo;30SEP2024;04/nov/24;100
50395;1464;50399;9920;Execução;Processo Corporativo;05/nov/24;31DEC2024;640
50395;1464;50400;9920;Comunicação de Resultados;Processo Corporativo;01/jan/25;20/jan/25;104
50395;1464;50398;9920;Pré-auditoria;Processo Corporativo;30SEP2024;04/nov/24;260
50395;1464;50401;9920;Supervisão;Processo Corporativo;30SEP2024;20/jan/25;80
50472;1676;50995;9608;Pré-auditoria;Processo Corporativo;04/nov/24;29/nov/24;100
50472;1676;51001;9608;Execução;Processo Corporativo;02DEC2024;31DEC2024;280
50472;1676;50476;9920;Pré-auditoria;Processo Corporativo;04/nov/24;29/nov/24;298
50472;1676;50477;9920;Execução;Processo Corporativo;02DEC2024;31DEC2024;694
50472;1676;50478;9920;Comunicação de Resultados;Processo Corporativo;02/jan/25;14FEB2025;214
50472;1676;50479;9920;Supervisão;Processo Corporativo;04/nov/24;14FEB2025;90
50641;1000;50653;9608;Pré-auditoria;Processo Corporativo;18/nov/24;20DEC2024;280
50641;1000;50654;9608;Execução;Processo Corporativo;23DEC2024;07/mar/25;480
50641;1000;50656;9608;Comunicação de Resultados;Processo Corporativo;10/mar/25;21/mar/25;160
50641;1000;50658;9608;Supervisão;Processo Corporativo;18/nov/24;21/mar/25;80
50692;2640;50695;9608;Pré-auditoria;Processo Corporativo;03FEB2025;07/mar/25;360
50692;2640;50696;9608;Execução;Processo Corporativo;10/mar/25;18APR2025;560
50692;2640;50697;9608;Comunicação de Resultados;Processo Corporativo;21APR2025;02MAY2025;200
50692;2640;50698;9608;Supervisão;Processo Corporativo;03FEB2025;02MAY2025;80
50692;2640;54069;9825;Pré-auditoria;Processo Corporativo;03FEB2025;07/mar/25;160
50692;2640;54071;9825;Execução;Processo Corporativo;10/mar/25;18APR2025;240
50692;2640;54074;9825;Supervisão;Processo Corporativo;03FEB2025;02MAY2025;40
50692;2640;54068;9920;Pré-auditoria;Processo Corporativo;03FEB2025;07/mar/25;280
50692;2640;54070;9920;Execução;Processo Corporativo;10/mar/25;18APR2025;480
50692;2640;54072;9920;Comunicação de Resultados;Processo Corporativo;21APR2025;02MAY2025;160
50692;2640;54073;9920;Supervisão;Processo Corporativo;03FEB2025;02MAY2025;80
50757;1575;50784;9610;Comunicação de Resultados;Processo Corporativo;02DEC2024;17FEB2025;400
50757;1575;50781;9610;Pré-auditoria;Processo Corporativo;19FEB2024;28/jun/24;300
50757;1575;50783;9610;Execução;Processo Corporativo;01/jul/24;29/nov/24;800
50757;1575;50785;9610;Supervisão;Processo Corporativo;19FEB2024;17FEB2025;75
50993;1458;51003;8960;Supervisão;Processo Corporativo;18/nov/24;01APR2025;156
50993;1458;51004;8960;Pré-auditoria;Processo Corporativo;18/nov/24;27DEC2024;391
50993;1458;51005;8960;Execução;Processo Corporativo;30DEC2024;10/mar/25;651
50993;1458;51006;8960;Comunicação de Resultados;Processo Corporativo;11/mar/25;01APR2025;260
51042;1272;51044;8960;Pré-auditoria;Processo Corporativo;21OCT2024;27/nov/24;361
51042;1272;51045;8960;Execução;Processo Corporativo;28/nov/24;30/jan/25;602
51042;1272;51046;8960;Comunicação de Resultados;Processo Corporativo;31/jan/25;20FEB2025;241
51042;1272;51047;8960;Supervisão;Processo Corporativo;21OCT2024;20FEB2025;68
51330;530;51332;8960;Pré-auditoria;Entidade Ligada;16DEC2024;15/jan/25;150
51330;530;51333;8960;Execução;Entidade Ligada;16/jan/25;06/mar/25;250
51330;530;51334;8960;Comunicação de Resultados;Entidade Ligada;07/mar/25;20/mar/25;100
51330;530;51335;8960;Supervisão;Entidade Ligada;16DEC2024;20/mar/25;30
51419;1637;51425;8960;Pré-auditoria;Projeto;25/nov/24;13DEC2024;255
51419;1637;51426;8960;Execução;Projeto;16DEC2024;31/jan/25;620
51419;1637;51427;8960;Comunicação de Resultados;Projeto;03FEB2025;20/mar/25;409
51419;1637;51428;8960;Supervisão;Projeto;25/nov/24;20/mar/25;153
51419;1637;51429;9820;Pré-auditoria;Projeto;25/nov/24;13DEC2024;60
51419;1637;51430;9820;Execução;Projeto;16DEC2024;31/jan/25;140
51655;720;51903;9647;Pré-auditoria;Processo Corporativo;09/jan/25;07FEB2025;100
51655;720;51904;9647;Execução;Processo Corporativo;10FEB2025;23MAY2025;500
51655;720;51905;9647;Comunicação de Resultados;Processo Corporativo;26MAY2025;18/jun/25;100
51655;720;51906;9647;Supervisão;Processo Corporativo;09/jan/25;18/jun/25;20
